,Coefficient
ServiceArea_Arizona,0.0028120793540187196
ServiceArea_Arkansas,0.0006891046928774115
ServiceArea_California,0.02207968657407748
ServiceArea_Colorado,0.038495238754276725
ServiceArea_Connecticut,0.010135442532195301
ServiceArea_Delaware,0.0017938464985532401
ServiceArea_District of Columbia,0.02208015998215514
ServiceArea_Florida,0.046652651066314166
ServiceArea_Georgia,0.009232550916327603
ServiceArea_Hawaii,0.019536609322662584
ServiceArea_Idaho,0.013116048603253804
ServiceArea_Illinois,0.008688355866318312
ServiceArea_Indiana,0.00980478514088009
ServiceArea_Iowa,0.03320886403716945
ServiceArea_Kansas,0.003943329688440675
ServiceArea_Kentucky,0.0023845601633050023
ServiceArea_Louisiana,0.0017839811352810832
ServiceArea_Maine,0.0067009511367184865
ServiceArea_Maryland,0.030195588621481275
ServiceArea_Massachusetts,0.005555361963323646
ServiceArea_Michigan,0.012529016677590564
ServiceArea_Minnesota,0.03165387041523404
ServiceArea_Mississippi,0.00585972741577895
ServiceArea_Missouri,0.06062376245186523
ServiceArea_Nebraska,0.005487171009240218
ServiceArea_Nevada,0.006286817187054491
ServiceArea_New Hampshire,0.01856614075670792
ServiceArea_New Jersey,0.0136246439567896
ServiceArea_New Mexico,0.0008842335033918151
ServiceArea_New York,0.002225924897351242
ServiceArea_North Carolina,0.025591630968892526
ServiceArea_North Dakota,0.0033567977778128357
ServiceArea_Ohio,0.027491842740086075
ServiceArea_Oklahoma,0.02969059389503204
ServiceArea_Oregon,0.01659645092343196
ServiceArea_Pennsylvania,0.0142429361334684
ServiceArea_Rhode Island,0.013105059891581904
ServiceArea_South Carolina,0.018277269500869973
ServiceArea_South Dakota,0.007035084935870577
ServiceArea_Tennessee,0.016619715481888387
ServiceArea_Texas,0.020248416838563776
ServiceArea_Utah,0.017535907031832
ServiceArea_Virginia,0.020519876729762583
ServiceArea_Washington,0.026505570791031767
ServiceArea_West Virginia,0.020692032574440924
ServiceArea_Wisconsin,0.010768122759914418
ChildrenInHH_Yes,0.06472592770864848
HandsetRefurbished_Yes,0.0992899212764028
HandsetWebCapable_Yes,0.03515380945234103
TruckOwner_Yes,0.008855017047220725
RVOwner_Yes,0.0009187062078002527
Homeownership_Unknown,0.02726580479685425
BuysViaMailOrder_Yes,0.01694031304381088
RespondsToMailOffers_Yes,0.05855262361165348
OptOutMailings_Yes,0.0012873347993167241
NonUSTravel_Yes,0.0026796079615728856
OwnsComputer_Yes,0.002890839644960697
HasCreditCard_Yes,0.03697508325330407
NewCellphoneUser_Yes,0.010945439271656327
NotNewCellphoneUser_Yes,0.026600006215298105
OwnsMotorcycle_Yes,0.015636575964077845
MadeCallToRetentionTeam_Yes,0.07576918482644214
PrizmCode_Rural,0.028155410965579615
PrizmCode_Suburban,0.016389956073088706
PrizmCode_Town,0.019888320994834067
Occupation_Crafts,0.009940139157435635
Occupation_Homemaker,0.006208036295165176
Occupation_Other,0.005209626429231528
Occupation_Professional,0.0040745548952698845
Occupation_Retired,0.02616594119538558
Occupation_Self,0.005917211096581737
Occupation_Student,0.01627508325699431
MaritalStatus_Unknown,0.0678084674073267
MaritalStatus_Yes,0.01772065752362351
MonthlyMinutes,0.1546532097860477
TotalRecurringCharge,0.0483237334917761
DirectorAssistedCalls,0.014983301671520196
OverageMinutes,0.14268387403137872
RoamingCalls,0.02987632435080716
PercChangeMinutes,0.1442342551111439
PercChangeRevenues,0.10954417304684305
DroppedCalls,0.0584582773236547
BlockedCalls,0.04542648528786141
UnansweredCalls,0.047651730768951
CustomerCareCalls,0.055186278267559875
ThreewayCalls,0.043937071960710304
ReceivedCalls,0.04451113070048542
OutboundCalls,0.047373441291192635
InboundCalls,0.02789307873710502
PeakCallsInOut,0.06999623575556273
OffPeakCallsInOut,0.02236022825157566
CallForwardingCalls,0.003387701159054595
CallWaitingCalls,0.00120877546789747
MonthsInService,0.19243959165564303
UniqueSubs,0.23459823793579743
ActiveSubs,0.12301839093688519
Handsets,0.08899506169220951
HandsetModels,0.00645306896903839
CurrentEquipmentDays,0.32735281200636573
Age,0.03550393850095887
RetentionCalls,0.06301981915354282
RetentionOffersAccepted,0.018177844270043774
ReferralsMadeBySubscriber,0.013210762491323032
IncomeGroup,0.044806238277864424
AdjustmentsToCreditRating,0.03277543429386984
HandsetPrice,0.014783765721253343
CreditRating,0.08760819064531149
